OBJECTID,GB_KEY,GSI_KEY,PROJECT NAME,DEPARTMENT,PURPOSE,FUNDER,INSTALL YEAR,SEWER CLASSIFICATION CODE,CSO BASIN KEY,CSO BASIN NAME,CREEK WATERSHED KEY,CREEK WATERSHED NAME,SOURCE TYPE,SOURCE ID,BEST MANAGED PRACTICE,NUMBER OF BMPS,INFILTRATION SQ FT,IMPERVIOUS MANAGED SQ FT,AVG ANNUAL RUNOFF VOL MANAGED CB FT,AVG ANNUAL RUNOFF VOL MANAGED GLN,GlobalID,x,y
394027,3780,1576,RAINWISE,SPU,RW,SPU,2019,P,,Delridge,,,PIN,2112701020,CRG,,,1200,2069,15476,cee846fc-0555-4943-8483-d96f9f202ed1,1264889.64990003,198669.520127475
394028,3781,1577,RAINWISE,SPU,RW,SPU,2019,P,,Genesee,,,PIN,7950304440,CST,,,1944,1837,13741,86b296dd-6cf2-41ce-baf8-df79a02e8e57,1283000.19014257,208159.349897191
394029,3782,1578,RAINWISE,SPU,RW,SPU,2019,C,,Montlake,,,PIN,8712100275,CRG,,,1415,2061,15413,faffd25e-cf23-4a7a-abf3-0e963bc9380b,1278786.99289027,236230.02109395
394030,3783,1579,RAINWISE,SPU,RW,SPU,2019,P,,Ballard,,,PIN,1175000280,RGN,,,1234,2540,18996,0f04f670-b432-4a6e-ba75-54164d83234e,1254954.84988986,248761.593138769
394031,3784,1580,RAINWISE,SPU,RW,SPU,2019,P,,Genesee,,,PIN,5249804690,CST,,,1187,1122,8390,66e41abb-085c-46a7-8b76-12f2bf0818b3,1286587.26598625,207680.329864711
394032,3785,1581,RAINWISE,SPU,RW,SPU,2019,P,,Henderson,,,PIN,2624049160,CST,,,2142,2024,15141,4ae7c1ca-7fe8-4846-a512-146fb2799aec,1286521.96000218,200295.400065139
394033,3786,1582,RAINWISE,SPU,RW,SPU,2019,P,,Fremont,,,PIN,3863400005,RGN,,,1486,3058,22875,791d8842-9c20-4285-8fdc-180c5fbc6d0f,1268266.50212748,244181.36215809
394034,3787,1583,RAINWISE,SPU,RW,SPU,2019,C,,Ballard,,,PIN,7518505640,CST,,,776,733,5485,b226b3fe-fded-4ced-b851-1e787065094d,1258447.25008543,251259.796789333
394035,3788,1584,RAINWISE,SPU,RW,SPU,2019,P,,North Union Bay,,,PIN,8815400500,CST,,,560,529,3958,14e65097-5411-4c98-a37f-7479a973f851,1281965.74502152,249470.571059495
394036,3789,1586,RAINWISE,SPU,RW,SPU,2019,C,,Portage Bay,,,PIN,1959700795,CST,,,2417,2284,17085,909c36b8-6bf4-48d1-a20a-1bde47e1defd,1273842.7970452,238699.463976473
