X,Y,OBJECTID,school_ID,school_name,mapLabel,status,grades,esmshs,siteID,address,zip,Latitude,Longitude
-122.315104889304,47.5854692048732,40,205,Beacon Hill Int'l,Beacon Hill Int'l,ELEM,K-5,ES,205,2025 14th Ave. S,98144,47.5854750204704,-122.315119486463
-122.299846332198,47.5909585487249,41,212,Thurgood Marshall,Thurgood Marshall,ELEM,K-5,ES,212,2401 S Irving St.,98144,47.5909643661997,-122.29986092806
-122.304149774154,47.5979556865434,42,117,Washington,Washington,MS,6-8,MS,117,2101 S Jackson St.,98144,47.5979615039557,-122.304164372312
-122.315484720788,47.6012005334246,43,226,Bailey Gatzert,Gatzert,ELEM,K-5,ES,226,1301 E Yesler Way,98122,47.6012063498417,-122.315499321565
-122.291813625458,47.6021031915341,44,244,Leschi,Leschi,ELEM,K-5,ES,244,135 32nd Ave.,98122,47.6021090104489,-122.291828222502
-122.301904688229,47.6054195130438,45,14,Garfield,Garfield,HS,9-12,HS,14,400 23rd Ave.,98122,47.6054253310961,-122.301919287701
-122.300925709864,47.6084241754992,46,23,Nova,Nova at Mann,Service School,9-12,HS,637,2410 E Cherry St.,98122,47.6084299938168,-122.300940309853
-122.290868905001,47.612236775301,47,249,Madrona,Madrona,ELEM,K-5,ES,249,1121 33rd Ave.,98122,47.6122425948674,-122.29088350418
-122.309286398388,47.613373419336,48,983,World School,World School at Minor,Service School,6-12,MSHS,254,1700 E Union St.,98122,47.6133792370588,-122.309301000888
-122.353981719519,47.6220792613884,49,24,The Center School,Center School,Option HS,9-12,HS,24,305 Harrison St.,98109,47.622085074959,-122.35399633142
-122.318378915744,47.6244234241625,50,245,Lowell,Lowell,ELEM,K-5,ES,245,1058 E Mercer St.,98102,47.6244292415468,-122.318393522259
-122.307864884619,47.6314562299182,51,272,Stevens,Stevens,ELEM,K-5,ES,272,1242 18th Ave. E,98112,47.6314620487745,-122.307879490978
-122.351716580059,47.6328984835769,52,234,John Hay,Hay,ELEM,K-5,ES,234,201 Garfield St.,98109,47.6329042979703,-122.351731194035
-122.284831792037,47.6340777504495,53,248,McGilvra,McGilvra,ELEM,K-5,ES,248,1617 38th Ave. E.,98112,47.6340835718335,-122.284846395157
-122.35895523111,47.6368262839478,54,118,McClure,McClure,MS,6-8,MS,118,1915 1st Ave. W,98119,47.6368320978048,-122.358969847179
-122.348969192219,47.6379637402647,55,974,Queen Anne,Queen Anne,Option ELEM,K-5,ES,628,2100 4th Ave N,98109,47.6379695552181,-122.348983806887
-122.36559910812,47.6405159867016,56,211,Coe,Coe,ELEM,K-5,ES,211,2424 7th Ave. W,98119,47.6405218000707,-122.365613726129
-122.392623573053,47.6406061181655,57,250,Magnolia,Magnolia,ELEM,K-5,ES,250,2418 28th Ave. W.,98199,47.640611928739,-122.392638195569
-122.324178472285,47.6422868571816,58,935,TOPS K-8,TOPS K-8,Option ELEM,K-8,ES,271,2500  Franklin Ave. E,98102,47.6422926749383,-122.324193083813
-122.399262430613,47.6422573572221,59,289,Catharine Blaine K-8,Catharine Blaine K-8,ELEM,K-8,ES,289,2550 34th Ave. W,98199,47.6422631671969,-122.399277054605
-122.358619186178,47.6462750645117,60,945,Cascade,Cascade PP,Service School,K-12,,258,2919 1st Ave. W,98119,47.6462808789167,-122.358633804335
-122.349123735788,47.6546354602612,61,218,B.F. Day,B.F. Day,ELEM,K-5,ES,218,3921 Linden Ave. N,98103,47.6546412761042,-122.349138354265
-122.338027536628,47.6570800302643,62,105,Hamilton Int'l,Hamilton Int'l,MS,6-8,MS,135,1610 N 41st St.,98103,47.6570858473903,-122.338042153816
-122.324051869421,47.6575282555044,63,241,John Stanford Int'l,John Stanford Int'l,Option ELEM,K-5,ES,241,4057 5th Ave. NE,98105,47.6575340741032,-122.324066484386
-122.390474520374,47.656712405112,64,243,Lawton,Lawton,ELEM,K-5,ES,243,4000 27th Ave. W.,98199,47.6567182167807,-122.39048914619
-122.339622449525,47.6599617767439,65,15,Lincoln,Lincoln,HS,9-12,HS,15,4400 Interlake Ave. N,98103,47.6599675938611,-122.339637067632
-122.277963074235,47.6621980343177,66,242,Laurelhurst,Laurelhurst,ELEM,K-5,ES,242,4530 46th Ave. NE,98105,47.6622038579471,-122.277977682589
-122.326595385471,47.6682756071498,67,247,McDonald Int'l,McDonald Int'l,Option ELEM,K-5,ES,247,144 NE 54th St.,98105,47.6682814260691,-122.326610003301
-122.362246781598,47.6705993036939,68,281,West Woodland,West Woodland,ELEM,K-5,ES,281,5601 4th Ave. NW,98107,47.6706051190423,-122.362261405882
-122.292205523966,47.6718419430984,69,209,Bryant,Bryant,ELEM,K-5,ES,209,3311 NE 60th St.,98115,47.671847765777,-122.292220136883
-122.391519601726,47.6736321449466,70,201,Adams,Adams,ELEM,K-5,ES,201,6110 28th Ave. NW,98107,47.6736379574227,-122.391534231561
-122.328497858212,47.6763016090584,71,229,Green Lake,Green Lake,ELEM,K-5,ES,229,2400 N 65th St.,98103,47.6763074282163,-122.328512478183
-122.380512075998,47.6762974107118,72,949,Salmon Bay K-8,Salmon Bay K-8,Option ELEM,K-8,ES,111,1810 NW 65th St.,98117,47.676303224474,-122.380526704612
-122.312809534298,47.6772313932552,73,17,Roosevelt,Roosevelt,HS,9-12,HS,17,1410 NE 66th St.,98115,47.6772372140907,-122.31282415187
-122.322315348242,47.6772481422666,74,255,Montlake,Montlake interim at John Marshall,ELEM,K-5,ES,108,520 NE Ravenna Blvd.,98115,47.6772539621171,-122.322329967399
-122.322315348242,47.6772481422666,75,266,John Rogers,John Rogers and Montlake interim at John Marshall,ELEM,K-5,ES,108,520 NE Ravenna Blvd.,98115,47.6772539621171,-122.322329967399
-122.374888668665,47.6766107680539,76,11,Ballard,Ballard,HS,9-12,HS,11,1418 NW 65th St.,98117,47.6766165824166,-122.374903296417
