Agency,Site Name,Physical Address: Latitude,Physical Address: Longitude,Classrooms 15-16,Classrooms 16-17,Classrooms 17-18,Classrooms 18-19,Classrooms 19-20,19-20 Dual Language,19-20 Special Education
Seattle Public Schools,Olympic Hills Elementary School (SPS),47.72406,-122.30687,0,0,1,1,2,Not Dual Language,Not Designated for Special Education
Seattle Public Schools,Original Van Asselt Elementary School (SPS),47.538083,-122.29594,1,1,1,0,0,Not Dual Language,Special Education
Seattle Public Schools,Roxhill Elementary School at EC Hughes (SPS),47.53359,-122.37518,0,0,0,2,2,Not Dual Language,Not Designated for Special Education
Seattle Public Schools,Sandpoint Elementary School (SPS),47.67365,-122.26293,0,0,0,1,1,Not Dual Language,Not Designated for Special Education
Seattle Public Schools,South Shore PK-8 (SPS),47.52336,-122.27231,0,0,3,3,3,Not Dual Language,Special Education
Seattle Public Schools,Thornton Creek Elementary School (SPS),47.68566,-122.28445,0,1,1,2,2,Not Dual Language,Special Education
Seattle Public Schools,Van Asselt Elementary School (SPS),47.52934,-122.28844,1,1,1,2,2,Not Dual Language,Special Education
Seattle Public Schools,West Seattle Elementary School (SPS),47.54135,-122.3739,0,0,1,1,1,Not Dual Language,Not Designated for Special Education
Seed of Life,MLK Jr Elementary School (Seed of Life),47.54116,-122.27677,0,2,2,1,1,Not Dual Language,Not Designated for Special Education
Seed of Life,Rainier Beach Community Center (Seed of Life),47.52449,-122.27071,0,0,1,1,1,Not Dual Language,Not Designated for Special Education
Seed of Life,Seed of Life Preschool,47.55995,-122.28575,0,1,2,2,2,Not Dual Language,Not Designated for Special Education
Sound Child Care Solutions,Hoa Mai Vietnamese Bilingual Preschool (Sound Childcare Solutions),47.57712,-122.29763,2,2,2,2,2,Dual Language,Not Designated for Special Education
Sound Child Care Solutions,Little Eagles (Sound Child Care Solutions),47.605867,-122.335298,1,0,0,0,0,Not Dual Language,Not Designated for Special Education
Sound Child Care Solutions,Pinehurst Preschool at Hazelwolf K-8 School (Sound Child Care Solutions),47.71336,-122.31452,1,1,1,1,1,Not Dual Language,Not Designated for Special Education
Sound Child Care Solutions,Pinehurst Preschool at Northgate Community Center (Sound Child Care Solutions),47.70546,-122.32231,0,0,1,1,1,Not Dual Language,Not Designated for Special Education
Sound Child Care Solutions,Refugee & Immigrant Family Center Bilingual Preschool (Sound Child Care Solutions),47.54326,-122.36177,0,0,0,1,1,Dual Language,Not Designated for Special Education
Sound Child Care Solutions,Southwest Early Learning Bilingual Preschool (Sound Child Care Solutions),47.55344,-122.36329,0,2,2,2,3,Dual Language,Not Designated for Special Education
Tiny Tots,Tiny Tots Development Center,47.52907,-122.27779,0,0,0,1,1,Not Dual Language,Not Designated for Special Education
Tiny Tots Early Learning Collaborative,1st Start Learning Family Home Center (Family),47.51926,-122.27935,0,0,0,1,1,Not Dual Language,Not Designated for Special Education
Tiny Tots Early Learning Collaborative,Aster Blossom Child Care (Family),47.55408,-122.28801,0,0,0,1,1,Not Dual Language,Not Designated for Special Education
Tiny Tots Early Learning Collaborative,Ayan Family Child Care (Family),47.5271,-122.28385,0,0,1,1,0,Not Dual Language,Not Designated for Special Education
Tiny Tots Early Learning Collaborative,Bella's Creative Learning Center (Family),47.60961,-122.29988,0,0,1,1,1,Not Dual Language,Not Designated for Special Education
Tiny Tots Early Learning Collaborative,Hanan Family Daycare (Family),47.72897,-122.29954,0,0,1,1,1,Not Dual Language,Not Designated for Special Education
Tiny Tots Early Learning Collaborative,Hidaya Family Childcare (Family),47.71641,-122.31928,0,0,1,1,0,Not Dual Language,Not Designated for Special Education
Tiny Tots Early Learning Collaborative,Nurturing Hands Daycare (Family),47.54367,-122.29507,0,0,1,1,1,Not Dual Language,Not Designated for Special Education
Tiny Tots Early Learning Collaborative,Rejoice Family Daycare (Family),47.53914,-122.27787,0,0,1,1,0,Not Dual Language,Not Designated for Special Education
Tiny Tots Early Learning Collaborative,Salmaan Family Child Care (Family),47.54366,-122.29498,0,0,1,1,1,Not Dual Language,Not Designated for Special Education
United Indians of All Tribes Foundation,Daybreak Star Preschool (United Indians of All Tribes Foundation),47.66422,-122.41477,0,0,0,2,2,Not Dual Language,Not Designated for Special Education
YMCA,Concord International Elementary School (YMCA),47.52351,-122.3243,0,1,1,1,1,Not Dual Language,Not Designated for Special Education
YMCA,Dunlap Elementary (YMCA),47.52612,-122.275766,0,1,1,0,0,Not Dual Language,Not Designated for Special Education
YMCA,Hallows (YMCA),47.52667,-122.37627,0,0,0,0,2,Not Dual Language,Not Designated for Special Education
YMCA,Schmitz Park Elementary School (YMCA),47.573,-122.39673,0,0,0,1,0,Not Dual Language,Not Designated for Special Education
,Total Classrooms,,,15,35,66,89,106,,
