OBJECTID,NAME,OWNER,GLOBALID,Spatial Data Quality Level,Shape__Area,Shape__Length
11021,Burke-Gilman Trail,SDOT,3f87f73d-3785-4619-abdd-0affdf3eab69,QL-D3,8586.92437744141,643.917792376343
11022,Bell Street Pier at Pier 66,Port,75d903cc-e209-4863-a558-c3e49afa3c97,QL-D3,34990.4463806152,1142.1281807616
11023,Fortson Square,SDOT,d85f080f-b5eb-41cf-870b-d0bca523b3d8,QL-D3,520.037506103516,114.999883459626
11024,Harbor Marina Corporate Center,Port,aa86b0e1-762a-48e6-aa16-1fb3216cf80f,QL-D3,73732.504486084,3599.6809946744
11025,Hiram M. Chittenden Locks,ACoE,97b3b105-a1c5-405f-b5ed-762fea2b6e99,QL-D3,21390.5110778809,1025.17909699494
11026,Burke-Gilman Trail,SDOT,9edb2059-078c-4f9d-8c28-212d61594e23,QL-D3,11602.8958435059,812.676999405578
11027,Spokane Street Bridge,SDOT,a734f933-99b2-4517-9139-ceccb000432b,QL-D3,30220.3924102783,1116.56187524713
11028,El Centro De La Raza,Non-Profit,ec6c5178-a3a3-4b0a-8a5e-5bd3d51f382f,QL-D3,10940.7174530029,422.401487811508
11029,Waterfall Park,Private,6522cf9b-24e6-42a6-985f-eefef24e6a8f,QL-D3,6235.44912719727,327.878600126207
11030,Burke-Gilman Trail,SDOT,8663a37d-edcb-4552-9ae2-739e987488df,QL-D3,20656.9793395996,3772.17278554909
11031,Burke-Gilman Trail,SDOT,2e5e6806-3cf6-46bb-8b28-0d3b9266f8d1,QL-D3,1042.8193359375,156.289060119988
11032,Hiram M. Chittenden Locks,ACoE,9c92a78d-eb59-4bad-af5f-c8fcc4266f23,QL-D3,129302.851715088,2436.44046532708
11033,Burke-Gilman Trail,UW,db482d4c-641d-4e32-80aa-8db5c3fc063f,QL-D3,80099.9472045898,3329.16461990488
11034,Burke-Gilman Trail,SDOT,afe36d1f-845f-4138-aa5c-b843340a8a7d,QL-D3,98232.5928649902,5515.61675980433
11035,"Carl S English, Jr Gardens",ACoE,49bee5c1-4107-4fac-82ce-3fc5249d2af8,QL-D3,68425.0554504395,1286.86948768289
11036,Washington Street End,SDOT,88942f3f-d4f6-43e5-b51a-46b7456ccf8b,QL-D3,2776.22964477539,261.375790358696
11037,Seattle Center,CoS,129efb13-08b1-4dde-9be4-69ce247fac11,QL-D3,137080.392791748,1495.53447102493
11038,Seattle Center,CoS,37a35039-63d7-4f59-b38c-c37a1c565fee,QL-D3,43891.0668640137,867.526373164431
11039,Seattle Center,CoS,200c86d1-2b4d-4fe5-9186-cc85d81fc0fd,QL-D3,137043.642303467,1495.35683925132
11040,Burke-Gilman Trail,SDOT,dacd9a90-c089-4974-a8ce-cb0778c045f9,QL-D3,3491.8505859375,490.657312389371
11041,Burke-Gilman Trail,SDOT,431e6c48-bd2f-477f-99e6-e66765cafb36,QL-D3,3231.99206542969,598.020924359244
11042,Seattle Center,CoS,b3f577c0-9c9e-49e0-a433-e9d591f99fef,QL-D3,137104.581878662,1495.72133620469
11043,Seattle Center,CoS,aa5ab5bf-ead3-4ed9-9ee7-e3f19c86e32b,QL-D3,129663.712768555,1666.2943551756
11044,Hahahpoos Village Park,Port,9e7c8a0a-fabc-4d4d-b7d9-ce42f8dd7010,QL-D3,345205.059463501,2961.99333071594
11045,Salmon Cove Park,Port,8c6d5a2d-e143-4506-8029-fe0ea8c7a33f,QL-D3,267643.373916626,2421.07732179049
11046,Bridge Gear Park,Port,620ed040-3bb1-42ce-b0bb-416841880fd2,QL-D3,7478.78573608398,332.203197464927
11047,Duwamish River Peoples Park,Port,4aec7777-f65c-4080-bcce-ee74e4d07b1f,QL-D3,248684.98210144,4276.31140242974
11048,Toolalt Village Park,Port,8e884770-64f2-492a-964e-f75f48498f84,QL-D3,116133.266326904,2315.5878182619
11049,Sbaqwah Park,Port,de98c7c0-34e9-4f12-a16a-744d282b2dcd,QL-D3,392635.264892578,3105.64609077104
11050,Peace Park,CoS,4ed0c0d4-dccd-48c9-a37d-7eb94b78da11,QL-D3,28692.0983886719,1207.3475459994
11051,Tathtathootseed Park,Port,8667fc58-30da-46e9-9408-a66581cd5b94,QL-D3,19076.278213501,826.153927552881
11052,Jack Perry Memorial Park,Port,39270b32-da4e-459a-8596-ba29ede144f3,QL-D3,66620.396270752,2124.85319715352
