OBJECTID,GEOID20,Gross Acres,Land Acres,Water Acres,Tract Name,Tract,Tract Label,Urban Village Demographic Area,Community Reporting Area ID,Community Reporting Area Group,Community Reporting Area Name,Community Reporting Area Neighborhoods,Council District (2024)
338,53033009900,1612.81207719095,1622.28883820889,585.821376879983,Census Tract 99,9900,99,Outside - Delridge,2.1,2,North Delridge,"North Delridge, Pigeon Point, Avalon, Luna Park, Harbor Island",1
339,53033011001,266.964980657685,266.97043034702,0,Census Tract 110.01,11001,110.01,Othello,3.4,3,South Beacon Hill/NewHolly,"South Beacon Hill, NewHolly, Holly Park",2
340,53033011500,380.13284018238,380.140247229231,0,Census Tract 115,11500,115,Outside - Delridge,2.4,2,Roxhill/Westwood,"Roxhill, Westwood, South Delridge, White Center",1
341,53033011601,383.626623862169,384.134705723016,45.6761942643866,Census Tract 116.01,11601,116.01,Outside - West Seattle,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1
342,53033012000,355.097941290369,355.102294437221,0,Census Tract 120,12000,120,Outside - West Seattle,1.1,1,Arbor Heights,"Arbor Heights, Brace Point, Endolyne, Arroyo",1
344,53033000202,365.709220986835,365.736968745731,0,Census Tract 2.02,202,2.02,Lake City,8.2,8,Olympic Hills/Victory Heights,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",5
345,53033000500,695.458641788719,716.173666472704,235.668603236484,Census Tract 5,500,5,Outside - Northwest,9.1,9,Broadview/Bitter Lake,"Broadview, Bitter Lake",5
346,53033000601,353.647634595089,353.674025331494,0,Census Tract 6.01,601,6.01,Bitter Lake Village,9.5,9,Haller Lake,"Haller Lake, Pinehurst",5
347,53033000602,595.670433231368,582.075753505483,13.6379931166424,Census Tract 6.02,602,6.02,Bitter Lake Village,9.5,9,Haller Lake,"Haller Lake, Pinehurst",5
348,53033001000,235.772052436121,235.788696451949,0,Census Tract 10,1000,10,Outside - Northeast,8.3,8,Cedar Park/Meadowbrook,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",5
349,53033001500,282.378283463929,288.547672269529,130.196118991541,Census Tract 15,1500,15,Outside - Northwest,10.1,10,North Beach/Blue Ridge,"Crown Hill, North Beach, Blue Ridge",6
350,53033002100,337.390678534884,337.414491221312,0,Census Tract 21,2100,21,Outside - Northeast,7.4,7,Wedgwood/View Ridge,"Wedgwood, View Ridge, Bryant, Matthews Beach",4
351,53033002500,243.218363624363,243.234228705351,0,Census Tract 25,2500,25,Outside - Northeast,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",4
352,53033002700,391.598049693352,391.624222734346,0,Census Tract 27,2700,27,Green Lake - Roosevelt,9.4,9,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park",6
353,53033003100,531.160949802337,552.708761532983,116.817586525593,Census Tract 31,3100,31,Outside - Northwest,10.3,10,Sunset Hill/Loyal Heights,"Sunset Hill, Golden Gardens, Loyal Heights, Shilshole",6
354,53033004101,383.968352046115,395.856149499863,813.117555576632,Census Tract 41.01,4101,41.01,Outside - Northeast,7.5,7,Laurelhurst/Sand Point,"Laurelhurst, Windermere, Sand Point, Hawthorne Hills, Magnuson Park",4
