OBJECTID,GEOID20,Gross Acres,Land Acres,Water Acres,Tract Name,Tract,Tract Label,Urban Village Demographic Area,Community Reporting Area ID,Community Reporting Area Group,Community Reporting Area Name,Community Reporting Area Neighborhoods,Council District (2024)
163,53033006100,274.544219433053,296.13380748507,168.47200128736,Census Tract 61,6100,61,Eastlake,7.1,7,Montlake/Portage Bay,"Montlake, Portage Bay, Interlaken Park, Eastlake, Roanoke Park, Washington Park",3
164,53033006200,548.194555226699,602.301081885183,59.1461557215316,Census Tract 62,6200,62,Outside - East,7.1,7,Montlake/Portage Bay,"Montlake, Portage Bay, Interlaken Park, Eastlake, Roanoke Park, Washington Park",3
165,53033006702,75.3015352269044,75.3048708360155,0,Census Tract 67.02,6702,67.02,Center City,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",7
166,53033006900,223.6487070949,223.660270111585,0,Census Tract 69,6900,69,Outside - West,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",7
167,53033007201,37.2486779140338,37.2496536459774,0,Census Tract 72.01,7201,72.01,Center City,11.3,11,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle",7
168,53033007301,61.9681659944449,61.970817338758,0,Census Tract 73.01,7301,73.01,Center City,11.3,11,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle",7
169,53033007303,77.4697634207097,77.4742089812023,0,Census Tract 73.03,7303,73.03,Center City,11.3,11,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle",7
170,53033007406,37.268992968464,37.2706576034146,0,Census Tract 74.06,7406,74.06,First Hill - Capitol Hill,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",3
171,53033007501,73.7031013459406,73.7073345438828,0,Census Tract 75.01,7501,75.01,First Hill - Capitol Hill,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",3
172,53033008002,57.8976060655771,57.9002503874353,0,Census Tract 80.02,8002,80.02,Center City,13.1,13,Belltown,"Belltown, Denny Regrade",7
173,53033008900,314.613092184132,313.831989127007,444.311785096641,Census Tract 89,8900,89,Central Area,5.1,5,Madrona/Leschi,"Madrona, Leschi, Harrison/Denny-Blaine",3
174,53033009500,629.454047073406,641.909850609427,720.62601123862,Census Tract 95,9500,95,Southeast - North,4.4,4,Mt. Baker/North Rainier,"Mt. Baker, North Rainier, Atlantic",2
175,53033009801,248.260001901815,248.268753750349,0,Census Tract 98.01,9801,98.01,Admiral - West Seattle Junction,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1
176,53033010301,247.755263908932,247.762187718041,0,Census Tract 103.01,10301,103.01,Southeast - North,4.2,4,Columbia City,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City",2
177,53033010501,183.349742157102,183.35614684348,0,Census Tract 105.01,10501,105.01,Admiral - West Seattle Junction,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1
178,53033010601,269.148655355335,269.155336131248,0,Census Tract 106.01,10601,106.01,Morgan Junction,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1
179,53033011101,280.915269466488,280.92200019293,0,Census Tract 111.01,11101,111.01,Othello,4.2,4,Columbia City,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City",2
180,53033011102,321.372032996796,322.034158058911,282.550177552383,Census Tract 111.02,11102,111.02,Outside - Southeast,4.3,4,Seward Park,"Seward Park, Hillman City",2
181,53033011300,855.346300507908,844.929408194818,10.4327892117309,Census Tract 113,11300,113,Outside - South Seattle,2.5,2,Highland Park,"Highland Park, Westwood, White Center, South Delridge",1
182,53033011902,382.421769869947,390.596017241452,300.847589744733,Census Tract 119.02,11902,119.02,Outside - Southeast,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",2
184,53033001702,316.327379342956,316.349251649506,0,Census Tract 17.02,1702,17.02,Crown Hill,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",5
185,53033003301,165.354216761942,165.364651113567,0,Census Tract 33.01,3301,33.01,Ballard,10.2,10,Whittier Heights,"Whittier Heights, Loyal Heights, Crown Hill",6
186,53033003800,154.333436709205,154.343503988214,0,Census Tract 38,3800,38,Outside - Northeast,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",4
187,53033004201,307.406122711562,307.427264740962,0,Census Tract 42.01,4201,42.01,Outside - Northeast,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",4
188,53033004301,241.959100407758,241.974485469885,0,Census Tract 43.01,4301,43.01,Outside - Northeast,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",4
189,53033004901,122.838999359516,122.846957836967,0,Census Tract 49.01,4901,49.01,Fremont - Wallingford,11.1,11,Fremont,"Fremont, Wallingford, Northlake",6
190,53033005000,187.142095662417,187.152673926593,0,Census Tract 50,5000,50,Fremont - Wallingford,11.2,11,Wallingford,"Wallingford, Meridian, Northlake, University District",4
191,53033005801,450.375256198777,450.316198764472,64.302503719665,Census Tract 58.01,5801,58.01,Interbay,12.2,12,Interbay,Interbay,7
192,53033007002,108.972701052984,108.978662504661,0,Census Tract 70.02,7002,70.02,Queen Anne,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",7
193,53033007101,122.324455759138,122.330507589395,0,Census Tract 71.01,7101,71.01,Center City,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",7
194,53033007102,83.0001477496362,83.0046745270987,0,Census Tract 71.02,7102,71.02,Center City,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",7
195,53033007902,106.556915369304,106.562713188624,0,Census Tract 79.02,7902,79.02,Central Area,5.3,5,Central Area/Squire Park,"Central Area, Mann, Minor, Squire Park",3
196,53033009100,101.461606684613,101.466658903604,0,Census Tract 91,9100,91,Center City,13.3,13,Pioneer Square/International District,"Pioneer Square, International District, Chinatown, Little Saigon, ID, Chinatown-International District",2
197,53033010302,156.20733546581,156.211867778595,0,Census Tract 103.02,10302,103.02,Southeast - North,4.2,4,Columbia City,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City",2
198,53033010402,430.661566945265,430.672803558472,0,Census Tract 104.02,10402,104.02,Outside - Southeast,3.5,3,Beacon Hill,Beacon Hill,2
199,53033010702,192.766143373939,192.770614777581,0,Census Tract 107.02,10702,107.02,Morgan Junction,2.2,2,High Point,"High Point, Delridge",1
303,53033001202,202.963970231745,202.978785197425,0,Census Tract 12.02,1202,12.02,Northgate,8.1,8,Northgate/Maple Leaf,"Maple Leaf, Northgate, Pinehurst",5
304,53033001400,529.6899543242,531.960311060406,52.7295702771684,Census Tract 14,1400,14,Crown Hill,10.1,10,North Beach/Blue Ridge,"Crown Hill, North Beach, Blue Ridge",5
